asset_id,asset_name,company_name,parent_name,country,sector,latitude,longitude,percent_interest_parent,start_year,uid
15586,Tengyuan Coal Mine,Ordos Tengyuan Coal,Ordos Juding Coal Machinery Industrial Group,CHN,coal mining,39.857996,110.082137,100.0,,CLT_1512
15587,Tian'an No.10 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.759798,113.349017,100.0,,CLT_1513
15588,Tian'an No.11 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.813085,113.173177,100.0,,CLT_1514
15589,Tian'an No.12 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.760817,113.367701,100.0,,CLT_1515
15590,Tian'an No.13 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.881412,113.380083,100.0,,CLT_1516
15591,Tian'an No.2 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.755676,113.302611,100.0,,CLT_1517
15592,Tian'an No.4 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.778162,113.266048,100.0,,CLT_1518
15593,Tian'an No.5 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.784098,113.223538,100.0,,CLT_1519
15594,Tianan Chaoyang Coal Mine,Zezhou Tian'an Chaoyang Coal Industry Co Ltd of Shanxi Jinmei Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,35.660834,112.928104,31.55297824800001,,CLT_1520
15595,Tianan No. 1 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.762409,113.303408,100.0,,CLT_1521
15596,Tianan No. 6 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.787914,113.241159,100.0,,CLT_1522
15597,Tianan No. 8 Coal Mine,Pingdingshan Tianan Coal Mining,Pingdingshan Tianan Coal Mining,CHN,coal mining,33.758125,113.426262,100.0,,CLT_1523
15598,Tianan Shengxin Coal Mine,Shanxi Jinmei Group Zezhou Tian'an Shengxin Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,35.577828,112.804921,31.55297824800001,,CLT_1524
15599,Tianchen Coal Mine,Zaozhuang MINING (GROUP),Shandong Energy Group,CHN,coal mining,34.924789,117.108422,86.31,,CLT_1525
15600,Tianchi Coal Mine,Shanxi Heshun Tianchi Power,Yankuang Energy Group,CHN,coal mining,37.236836,113.475251,81.31,,CLT_1526
15601,Tianju Xinhuiyuan Coal Mine,Shanxi Xinhuiyuan Coal Industry,Shanxi JUYI Industry Group,CHN,coal mining,36.948063,111.802119,100.0,,CLT_1527
15602,Tianlong Dahaize Coal Mine,Inner Mongolia Shendong Tianlong Group,Inner Mongolia Shendong Tianlong Group,CHN,coal mining,39.224997,110.342516,100.0,,CLT_1528
15603,Tianrun Detong Coal Mine,Shanxi Tianrun Coal Chemical Group Detong Coal Industry,other,CHN,coal mining,35.81591,110.621302,4.08,,CLT_1529
3163109,Tianshuibu No.2 Coal Mine,Gansu Wansheng Mining,China Huadian Group,CHN,coal mining,37.089484,106.785417,46.79999999999999,,CLT_1530
15604,Tianshun Coal Mine,Chenbaerhuqi Tianshun Mining Industry,Huadian Energy,CHN,coal mining,49.438591,119.759572,100.0,,CLT_1531
15605,Tiantai Kunda Coal Mine,Shanxi Zekuntai Coal Industry,Shanxi Provincial Department of Finance,CHN,coal mining,35.540514,112.657628,10.0,,CLT_1532
15606,Tianyu Coal Mine,Wuhai City Tianyu Coal,Ordos Taiheng Investment,CHN,coal mining,39.441207,106.920883,92.37,,CLT_1533
15607,Tianyu Hengjin Coal Mine,Anhui Wanbei Coal Power Group Linfen Tianyu Hengjin Coal Industry,Linfen Xiguo Tianyu Coal Industry,CHN,coal mining,36.295571,111.319669,40.0,,CLT_1534
15608,Tianyu Hengsheng Coal Mine,Anhui Wanbei Coal Power Group Linfen Tianyu Hengsheng Coal Industry,Linfen Xiguo Tianyu Coal Industry,CHN,coal mining,36.287989,111.306494,40.0,,CLT_1535
15609,Tie'bei Coal Mine,Zhalainur Coal Industry Limited Liability,China Huaneng Group,CHN,coal mining,49.461323,117.769641,100.0,,CLT_1536
15610,Tiefa Daping Coal Mine,Tiefa Coal Industry (Group),China Cinda Asset Management,CHN,coal mining,42.651596,123.326944,30.46,,CLT_1537
3163117,Tiefa Daqiang Coal Mine,Tiefa Coal Industry Group Daqiang Coal Mine,other,CHN,coal mining,42.749668,123.036949,0.13,,CLT_1538
15611,Tiefa Daxing Coal Mine,Tiefa Coal Industry (Group),China Cinda Asset Management,CHN,coal mining,42.404415,123.593334,30.46,,CLT_1539
15612,Tiexin Coal Mine,Shanxi Poly Iron Coal Industry,Ningbo Hesheng CORP.(Group),CHN,coal mining,36.937557,111.758549,28.0,,CLT_1540
15613,Tingnan Coal Mine,Shaanxi Changwu Tingnan Coal Industry,Shandong Energy Group,CHN,coal mining,35.096062,107.943871,95.2,,CLT_1541
16891,Tingziyan Surface Mine,Tingziyan Coal Mine,other,CHN,coal mining,39.872686,111.334636,4.596015700000001,,CLT_1542
3163121,Toksun Coal Mine,Sinkiang Heishan Strip Mine,Sinkiang Heishan Strip Mine,CHN,coal mining,43.237625,87.519177,100.0,,CLT_1543
16895,Toksun Panji Coal Mine,Tuokesun Panji Coal Industry,other,CHN,coal mining,43.150432,88.115078,49.0,,CLT_1544
15614,Tongde Coal Mine,Shanxi Liulin Tongde Coking Coal,Shanxi Huifeng Xingye Investment,CHN,coal mining,37.424651,110.903812,80.0,,CLT_1545
15615,Tonghua Coal Mine,Datong Coal Mine Group Xinzhou Tonghua Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,38.579834,113.285721,29.913030000000003,,CLT_1546
15616,Tongsheng Anping Coal Mine,Datong Coal Mine Group Tongsheng Anping Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.726679,112.742812,29.913030000000003,,CLT_1547
15617,Tongsheng Haoran Coal Mine,Datong Coal Mine Group Tongsheng Haoran Coal Industry,China Huaneng Group,CHN,coal mining,38.84191,112.366993,20.374505759999987,,CLT_1548
15618,Tongsheng Qianjing Coal Mine,Datong Coal Mine Group Tongsheng Qianjing Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.699533,112.565652,29.913030000000003,,CLT_1549
15619,Tongsheng Tongji Coal Mine,Datong Coal Mine Group Tongsheng Tongji Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.027142,112.454159,29.913030000000003,,CLT_1550
15620,Tongsheng Yugou Coal Mine,Shanxi Shuozhou Yugou Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.110576,112.416643,58.65300000000001,,CLT_1551
15621,Tongshuo Tongying Coal Mine,Datong Coal Mine Group Tongshuo Tongying Coal Industry,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,39.002532,112.551998,29.913030000000003,,CLT_1552
15622,Tongting Coal Mine,Huaibei Mining,other,CHN,coal mining,33.613436,116.657285,35.372305,,CLT_1553
15623,Tongxin Coal Mine,Tongmei Guodian Tongxin Coal Mine,GD POWER Development,CHN,coal mining,40.013182,113.103349,28.000000000000004,,CLT_1554
15624,Tucheng Coal Mine,Guizhou Panjiang Refined Coal,Guizhou Panjiang Refined Coal,CHN,coal mining,26.05645,104.503236,100.0,,CLT_1555
15625,Tunbao Coal Mine,Xinjiang Changji Tunbao Mining Industry,China Energy Investment,CHN,coal mining,43.671058,87.156009,100.0,,CLT_1556
15626,Tunlan Coal Mine,Shanxi Coking Coal Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,37.900102,112.108964,90.0,,CLT_1557
15627,Ulan Mulun Coal Mine,Shenhua Shendong Coal Group Corporation,China Shenhua Energy,CHN,coal mining,39.457596,110.10216,100.0,,CLT_1558
15628,Ulansetai Coal Mine,Shenmu Wulan Setai Coal,Shenmu Wulan Setai Coal,CHN,coal mining,39.224877,110.393906,100.0,,CLT_1559
15629,Wanfeng Coal Mine,Xiaoyi Jinhui Wanfeng Coal Mine,Jizhong Energy Group,CHN,coal mining,37.045757,111.794793,51.0,,CLT_1560
15631,Wangjialing Coal Mine (SCTS),Shanxi Coal Transportation and Marketing Group,Shanxi State-Owned Capital Investment and Operation,CHN,coal mining,38.873133,111.117042,57.654,,CLT_1561
