latitude	longitude	uid_gem	sector	capacity_unit	asset_name	country	start_year_first	capacity_first	start_year	capacity	number_units
25.747	105.532	L803128	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Puli solar farm	China	2019.0	100.0	[2019.0]	[100.0]	1
25.7473	105.5771	L809758	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Puli (Shengguang) solar farm	China	2020.0	100.0	[2020.0]	[100.0]	1
25.7474	105.577	L809764	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Zhongba Forestry solar farm	China	2020.0	150.0	[2020.0]	[150.0]	1
25.7501	105.518	L809761	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Shaying solar farm	China	2021.0	100.0	[2021.0]	[100.0]	1
25.7515	103.837	L919078	wind power/onshore	mw	Yunnan Zhanyi District Panjiang wind farm	China	2023.0	180.0	[2023.0]	[180.0]	1
25.7547	106.0816	L809964	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Ziyun Huohuazhen Agriculture solar farm	China	2022.0	200.0	[2022.0]	[200.0]	1
25.7556	101.773	L803260	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Yuanmou Pingtian Three Gorges solar farm	China	2013.0	20.0	[2013.0]	[20.0]	1
25.7562	112.7296	L803551	solar power/pv	mw (peak value, grid connected, or unknown)	Hunan Guiyang Hecheng solar farm	China	2017.0	20.0	[2017.0]	[20.0]	1
25.7603	100.3963	L829044	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Binchuan Yanping (SDIC) solar farm	China	2016.0	20.0	[2016.0]	[20.0]	1
25.7661	100.3927	L801908	solar power/pv	mw (peak value, grid connected, or unknown)	Yunnan Province Binchuan Xicun Grid-Connected solar farm	China	2014.0	50.0	[2014.0, 2015.0]	[50.0, 50.0]	2
25.768	105.498	L809763	solar power/pv	mw (peak value, grid connected, or unknown)	Guizhou Guanling Yongning Luobu solar farm	China	2020.0	100.0	[2020.0]	[100.0]	1
